subject,version,character,act,event,position,coherence,lag,plot,response,rt,error,abs_error,condition,exclusion
415,13,Melvin,1,A,59,coherent,short,sideplot,38,7173.6,-21,21,coherent-short,include
415,13,Charles,2,B,95,mainplot,mainplot,mainplot,115,4988.6,20,20,mainplot,include
415,13,Charles,2,C,105,mainplot,mainplot,mainplot,124,4028,19,19,mainplot,include
415,13,Beatrice,1,A,26,coherent,long,sideplot,NA,NA,NA,NA,coherent-long,exclude
415,13,Sandra,1,A,12,unrelated,long,sideplot,22,6858.8,10,10,unrelated-long,include
415,13,Melvin,2,A,103,coherent,short,sideplot,114,7739.4,11,11,coherent-short,include
415,13,Charles,2,A,78,mainplot,mainplot,mainplot,61,6196.4,-17,17,mainplot,include
415,13,Johnny,2,B,83,unrelated,short,sideplot,92,9356.1,9,9,unrelated-short,include
415,13,Charles,2,A,80,mainplot,mainplot,mainplot,57,9399.7,-23,23,mainplot,include
415,13,Charles,1,B,18,mainplot,mainplot,mainplot,109,5171.4,91,91,mainplot,include
415,13,Charles,2,D,125,mainplot,mainplot,mainplot,92,7667.9,-33,33,mainplot,include
415,13,Charles,2,B,90,mainplot,mainplot,mainplot,138,3364,48,48,mainplot,include
415,13,Johnny,1,A,45,unrelated,short,sideplot,32,4196.1,-13,13,unrelated-short,include
415,13,Melvin,1,A,57,coherent,short,sideplot,53,7388.2,-4,4,coherent-short,include
415,13,Charles,2,C,107,mainplot,mainplot,mainplot,126,7043.8,19,19,mainplot,include
415,13,Sandra,2,B,116,unrelated,long,sideplot,142,8515.5,26,26,unrelated-long,include
415,13,Johnny,1,A,46,unrelated,short,sideplot,46,4859.2,0,0,unrelated-short,include
415,13,Charles,1,E,69,mainplot,mainplot,mainplot,58,8965.2,-11,11,mainplot,include
415,13,Sandra,1,A,9,unrelated,long,sideplot,35,4460.9,26,26,unrelated-long,include
415,13,Charles,1,E,65,mainplot,mainplot,mainplot,45,8620.5,-20,20,mainplot,include
415,13,Charles,2,A,75,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
415,13,Charles,1,D,56,mainplot,mainplot,mainplot,49,3999.5,-7,7,mainplot,include
415,13,Sandra,1,A,10,unrelated,long,sideplot,4,4715.2,-6,6,unrelated-long,include
415,13,Johnny,2,B,85,unrelated,short,sideplot,110,8140.9,25,25,unrelated-short,include
415,13,Charles,2,C,110,mainplot,mainplot,mainplot,132,7532.2,22,22,mainplot,include
415,13,Johnny,1,A,41,unrelated,short,sideplot,30,2829.3,-11,11,unrelated-short,include
415,13,Charles,2,C,108,mainplot,mainplot,mainplot,137,4884.7,29,29,mainplot,include
415,13,Melvin,2,A,99,coherent,short,sideplot,26,9196,-73,73,coherent-short,include
415,13,Charles,1,B,21,mainplot,mainplot,mainplot,17,9295.3,-4,4,mainplot,include
415,13,Charles,2,B,89,mainplot,mainplot,mainplot,118,5200.5,29,29,mainplot,include
415,13,Sandra,2,B,118,unrelated,long,sideplot,52,7988.6,-66,66,unrelated-long,include
415,13,Sandra,2,B,119,unrelated,long,sideplot,104,4348.4,-15,15,unrelated-long,include
415,13,Charles,1,D,49,mainplot,mainplot,mainplot,35,5715,-14,14,mainplot,include
415,13,Charles,1,E,67,mainplot,mainplot,mainplot,62,5524.2,-5,5,mainplot,include
415,13,Charles,1,D,54,mainplot,mainplot,mainplot,41,5604.2,-13,13,mainplot,include
415,13,Sandra,2,B,113,unrelated,long,sideplot,4,8404.6,-109,109,unrelated-long,include
415,13,Beatrice,2,A,135,coherent,long,sideplot,117,4659.1,-18,18,coherent-long,include
415,13,Charles,2,B,91,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
415,13,Sandra,2,B,120,unrelated,long,sideplot,108,7107.5,-12,12,unrelated-long,include
415,13,Sandra,1,A,13,unrelated,long,sideplot,30,5466.5,17,17,unrelated-long,include
415,13,Sandra,1,A,15,unrelated,long,sideplot,13,7388.6,-2,2,unrelated-long,include
415,13,Sandra,1,A,11,unrelated,long,sideplot,9,3083.5,-2,2,unrelated-long,include
415,13,Charles,2,A,79,mainplot,mainplot,mainplot,78,3421,-1,1,mainplot,include
415,13,Charles,1,C,40,mainplot,mainplot,mainplot,29,4579.8,-11,11,mainplot,include
415,13,Charles,1,A,8,mainplot,mainplot,mainplot,97,3804.2,89,89,mainplot,include
415,13,Charles,2,C,106,mainplot,mainplot,mainplot,131,9148.4,25,25,mainplot,include
415,13,Charles,1,A,6,mainplot,mainplot,mainplot,4,4149.2,-2,2,mainplot,include
415,13,Beatrice,2,A,132,coherent,long,sideplot,115,3547.8,-17,17,coherent-long,include
415,13,Charles,1,A,5,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
415,13,Charles,1,D,53,mainplot,mainplot,mainplot,33,2303.2,-20,20,mainplot,include
415,13,Charles,2,E,139,mainplot,mainplot,mainplot,112,7110.4,-27,27,mainplot,include
415,13,Johnny,2,B,86,unrelated,short,sideplot,122,9157.4,36,36,unrelated-short,include
415,13,Charles,2,B,96,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
415,13,Charles,1,B,20,mainplot,mainplot,mainplot,17,5423.2,-3,3,mainplot,include
415,13,Sandra,2,B,115,unrelated,long,sideplot,27,9148.3,-88,88,unrelated-long,include
415,13,Charles,1,A,4,mainplot,mainplot,mainplot,4,5209,0,0,mainplot,include
415,13,Charles,2,D,128,mainplot,mainplot,mainplot,116,2932.6,-12,12,mainplot,include
415,13,Charles,2,A,74,mainplot,mainplot,mainplot,73,9788.1,-1,1,mainplot,include
415,13,Charles,1,C,36,mainplot,mainplot,mainplot,43,4319.5,7,7,mainplot,include
415,13,Charles,2,D,126,mainplot,mainplot,mainplot,101,7499.5,-25,25,mainplot,include
415,13,Johnny,1,A,42,unrelated,short,sideplot,31,6694.4,-11,11,unrelated-short,include
415,13,Johnny,1,A,43,unrelated,short,sideplot,29,2885.2,-14,14,unrelated-short,include
415,13,Charles,2,D,127,mainplot,mainplot,mainplot,105,5012.2,-22,22,mainplot,include
415,13,Beatrice,2,A,133,coherent,long,sideplot,111,4268.2,-22,22,coherent-long,include
415,13,Charles,2,E,144,mainplot,mainplot,mainplot,125,3771.8,-19,19,mainplot,include
415,13,Johnny,2,B,82,unrelated,short,sideplot,105,2435.6,23,23,unrelated-short,include
415,13,Melvin,1,A,60,coherent,short,sideplot,95,7348,35,35,coherent-short,include
415,13,Charles,2,D,124,mainplot,mainplot,mainplot,107,4932.2,-17,17,mainplot,include
415,13,Beatrice,1,A,27,coherent,long,sideplot,17,4780.5,-10,10,coherent-long,include
415,13,Charles,1,D,55,mainplot,mainplot,mainplot,33,2403.9,-22,22,mainplot,include
415,13,Charles,1,A,1,mainplot,mainplot,mainplot,15,6173.2,14,14,mainplot,include
415,13,Beatrice,2,A,136,coherent,long,sideplot,123,3779.3,-13,13,coherent-long,include
415,13,Charles,2,E,138,mainplot,mainplot,mainplot,116,5275.8,-22,22,mainplot,include
415,13,Johnny,2,B,81,unrelated,short,sideplot,108,5427.4,27,27,unrelated-short,include
415,13,Charles,2,C,111,mainplot,mainplot,mainplot,130,4316.2,19,19,mainplot,include
415,13,Charles,1,E,72,mainplot,mainplot,mainplot,118,7364.1,46,46,mainplot,include
415,13,Beatrice,2,A,130,coherent,long,sideplot,112,2414.2,-18,18,coherent-long,include
415,13,Charles,1,A,3,mainplot,mainplot,mainplot,144,9596.9,141,141,mainplot,include
415,13,Charles,1,D,51,mainplot,mainplot,mainplot,45,2616.3,-6,6,mainplot,include
415,13,Charles,2,E,143,mainplot,mainplot,mainplot,124,3100.7,-19,19,mainplot,include
415,13,Charles,2,E,141,mainplot,mainplot,mainplot,116,4596.2,-25,25,mainplot,include
415,13,Sandra,2,B,117,unrelated,long,sideplot,30,5765.1,-87,87,unrelated-long,include
415,13,Charles,2,B,94,mainplot,mainplot,mainplot,139,2931.9,45,45,mainplot,include
415,13,Charles,1,B,22,mainplot,mainplot,mainplot,26,2412,4,4,mainplot,include
415,13,Johnny,1,A,47,unrelated,short,sideplot,110,8980.2,63,63,unrelated-short,include
415,13,Johnny,1,A,44,unrelated,short,sideplot,33,3740.3,-11,11,unrelated-short,include
415,13,Beatrice,1,A,28,coherent,long,sideplot,31,5332.3,3,3,coherent-long,include
415,13,Charles,2,D,122,mainplot,mainplot,mainplot,123,7563.5,1,1,mainplot,include
415,13,Sandra,1,A,16,unrelated,long,sideplot,25,2091.6,9,9,unrelated-long,include
415,13,Johnny,2,B,88,unrelated,short,sideplot,117,5476.4,29,29,unrelated-short,include
415,13,Charles,1,C,39,mainplot,mainplot,mainplot,40,2260.4,1,1,mainplot,include
415,13,Charles,1,D,52,mainplot,mainplot,mainplot,35,1492.7,-17,17,mainplot,include
415,13,Beatrice,1,A,31,coherent,long,sideplot,34,7773.4,3,3,coherent-long,include
415,13,Melvin,2,A,101,coherent,short,sideplot,100,2443.8,-1,1,coherent-short,include
415,13,Melvin,2,A,97,coherent,short,sideplot,32,3355.8,-65,65,coherent-short,include
415,13,Charles,2,B,92,mainplot,mainplot,mainplot,131,4691.9,39,39,mainplot,include
415,13,Charles,2,A,76,mainplot,mainplot,mainplot,62,1579.3,-14,14,mainplot,include
415,13,Charles,1,A,7,mainplot,mainplot,mainplot,3,6733.4,-4,4,mainplot,include
415,13,Melvin,2,A,102,coherent,short,sideplot,88,4964.3,-14,14,coherent-short,include
415,13,Melvin,1,A,63,coherent,short,sideplot,117,2451.8,54,54,coherent-short,include
415,13,Melvin,1,A,62,coherent,short,sideplot,116,1876.5,54,54,coherent-short,include
415,13,Charles,1,C,33,mainplot,mainplot,mainplot,115,2419.7,82,82,mainplot,include
415,13,Charles,1,C,35,mainplot,mainplot,mainplot,37,2171.8,2,2,mainplot,include
415,13,Melvin,1,A,61,coherent,short,sideplot,98,2004.8,37,37,coherent-short,include
415,13,Sandra,2,B,114,unrelated,long,sideplot,82,6700.1,-32,32,unrelated-long,include
